Name,Hourly Rate,Charge Outrate,Project Code
Solomon O. Burris,£43.68,£59.94,LQD42WUA9KQ
Jeanette F. Carver,£36.01,£18.80,UOF97RQF3ZZ
Whitney Z. French,£30.12,£73.94,CPU42HMB2LA
Kim Z. Bright,£19.24,£93.46,OZR97KRT5UN
Plato W. Boyd,£4.39,£72.23,OWX53BBM9CL
Yardley H. Daugherty,£35.82,£38.98,KXJ77YLV8YS
Maggy Z. Bryan,£38.42,£91.73,JWL56PDI3KN
Veronica L. Wiggins,£26.78,£34.50,GLG00CTI5TR
Samson R. Chase,£25.69,£12.33,THL72XQC9GE
Akeem O. Miller,£18.25,£72.74,IZY68JEL8TF
Serena Z. Kramer,£43.38,£82.61,SJQ02SEQ8VZ
Leilani R. Cannon,£15.74,£13.43,PSS71PMZ3DZ
Quintessa Y. Benson,£1.59,£7.01,TYF19BQI0TI
Aquila Y. Huber,£5.86,£32.83,KLB78EEN2YH
Kelly H. Christian,£48.78,£64.02,IWM72VOI6KL
Jenette G. Decker,£40.73,£97.29,HCV99MXG6RV
Illiana D. Lindsey,£33.01,£98.89,URI94BBX9CO
Anne I. Sweeney,£42.07,£97.07,HSF96IES3CK
Kiayada G. Cotton,£34.33,£82.43,WGA24EIM6MQ
Jamal S. Robbins,£2.61,£26.97,JCJ81SWV6VB
Maxine I. Sutton,£9.54,£35.78,OEF14HIU7GS
Dexter F. Cox,£16.41,£89.52,BSM50PEA9PU
Micah K. Montoya,£15.07,£7.55,BJU74PFA5KZ
Hedda A. Mayo,£46.12,£59.43,ZPW27LIJ2TU
Andrew R. Spears,£35.87,£25.35,KOR71KVI3BI
Kevin Z. Richard,£29.63,£18.77,BHL50FDP9JF
Charde S. Massey,£27.84,£57.72,NWL75GLS9PH
Steel K. Roberts,£6.66,£94.46,JTF12XCQ9WM
Nora U. Kirby,£25.10,£90.94,GBE34VXF4ZO
Joy W. Cruz,£5.06,£88.19,ERR55ZEB3NH
Lucius O. Warner,£33.72,£73.37,OCY11NTU1TS
Donovan N. Schneider,£34.22,£85.14,RGE18GOC6OY
Gavin Q. Floyd,£39.23,£46.51,WLA75NHI8IA
Mariam S. Baird,£18.36,£4.97,DKB99LLV1UD
Chanda U. Rollins,£46.24,£92.60,OLB91TBC6CV
Laura X. Campbell,£8.81,£74.92,XYW69LIH5XR
Charde T. Rush,£21.58,£73.38,WXN34EVN2BA
Travis L. Davenport,£27.51,£30.02,FGL07ZJC6IE
Castor R. Oliver,£15.61,£21.18,PGM41NSQ1PS
Davis Y. Dillard,£4.22,£1.78,KKA84SKM7WN
Jolie M. Mcconnell,£8.53,£22.32,KLI43NOR4SJ
Emi G. Cummings,£25.48,£29.08,URS13ANI9QK
Amal B. Mcmillan,£31.51,£53.53,LVK33TQO1EF
Asher P. Porter,£16.08,£58.79,JFG66XGZ5CD
Acton Q. Castro,£24.29,£28.13,LBG77CRR9FB
Ebony V. Logan,£29.04,£25.13,FLN51YQA3ID
Jeremy R. Coffey,£38.23,£34.93,QFG02MGM2FJ
Alexander B. Mcfadden,£36.88,£70.60,KRD10OIC4NU
